"","x"
"X2015.07.01",148672476
"X2015.07.02",149593840
"X2015.07.03",141164198
"X2015.07.04",145612937
"X2015.07.05",151495372
"X2015.07.06",160742234
"X2015.07.07",154147373
"X2015.07.08",148860911
"X2015.07.09",149532135
"X2015.07.10",148374487
"X2015.07.11",145311879
"X2015.07.12",161476064
"X2015.07.13",162094487
"X2015.07.14",162050605
"X2015.07.15",151989235
"X2015.07.16",153778535
"X2015.07.17",151494233
"X2015.07.18",145816963
"X2015.07.19",152532492
"X2015.07.20",157454666
"X2015.07.21",150171972
"X2015.07.22",149541897
"X2015.07.23",144103064
"X2015.07.24",136380422
"X2015.07.25",133951531
"X2015.07.26",143817681
"X2015.07.27",148411035
"X2015.07.28",146099674
"X2015.07.29",161641638
"X2015.07.30",136648822
"X2015.07.31",131697023
"X2015.08.01",127190355
"X2015.08.02",139119487
"X2015.08.03",137409036
"X2015.08.04",151451701
"X2015.08.05",150381812
"X2015.08.06",151661232
"X2015.08.07",151518453
"X2015.08.08",145254353
"X2015.08.09",152239560
"X2015.08.10",150036703
"X2015.08.11",152812232
"X2015.08.12",153955761
"X2015.08.13",153464486
"X2015.08.14",150248544
"X2015.08.15",148954809
"X2015.08.16",158274375
"X2015.08.17",160869797
"X2015.08.18",158093749
"X2015.08.19",151358109
"X2015.08.20",146749726
"X2015.08.21",145025597
"X2015.08.22",144240800
"X2015.08.23",163309505
"X2015.08.24",164491327
"X2015.08.25",164452851
"X2015.08.26",155374496
"X2015.08.27",156413916
"X2015.08.28",149914206
"X2015.08.29",145510774
"X2015.08.30",157754907
"X2015.08.31",166277162
"X2015.09.01",156937034
"X2015.09.02",158601169
"X2015.09.03",157630547
"X2015.09.04",150611885
"X2015.09.05",151151117
"X2015.09.06",162415174
"X2015.09.07",169077653
"X2015.09.08",165248873
"X2015.09.09",162482119
"X2015.09.10",156543705
"X2015.09.11",156699645
"X2015.09.12",150833172
"X2015.09.13",169134067
"X2015.09.14",165657606
"X2015.09.15",158982976
"X2015.09.16",157353694
"X2015.09.17",163342201
"X2015.09.18",154806330
"X2015.09.19",150125990
"X2015.09.20",167435558
"X2015.09.21",176659471
"X2015.09.22",168812357
"X2015.09.23",175807587
"X2015.09.24",161348799
"X2015.09.25",154848840
"X2015.09.26",150540220
"X2015.09.27",165804639
"X2015.09.28",174610204
"X2015.09.29",163208183
"X2015.09.30",165359611
"X2015.10.01",159729851
"X2015.10.02",155795214
"X2015.10.03",159221338
"X2015.10.04",172337536
"X2015.10.05",170531955
"X2015.10.06",164037637
"X2015.10.07",166406710
"X2015.10.08",165902150
"X2015.10.09",163346682
"X2015.10.10",162959562
"X2015.10.11",174807551
"X2015.10.12",181003437
"X2015.10.13",178014236
"X2015.10.14",181375001
"X2015.10.15",172466118
"X2015.10.16",155746029
"X2015.10.17",155426596
"X2015.10.18",170015238
"X2015.10.19",175443504
"X2015.10.20",176143573
"X2015.10.21",176395808
"X2015.10.22",171589591
"X2015.10.23",163469030
"X2015.10.24",158471536
"X2015.10.25",173615017
"X2015.10.26",177435448
"X2015.10.27",177844733
"X2015.10.28",173554821
"X2015.10.29",167300911
"X2015.10.30",161036404
"X2015.10.31",155072944
"X2015.11.01",165271818
"X2015.11.02",179109144
"X2015.11.03",173602617
"X2015.11.04",173112003
"X2015.11.05",173084074
"X2015.11.06",163135305
"X2015.11.07",160246589
